sep=,
Type,FSVA3013,
Version,1.40,
Date,01.Mar 2024,
Mode,ANALYZER,
Preamplifier,ON,
Transducer,OFF,
Center Freq,79500.000000,Hz
Freq Offset,0.000000,Hz
Start,9100.000000,Hz
Stop,149900.000000,Hz
Span,140800.000000,Hz
Ref Level,87.000000,dBµV
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,200.000000,Hz
VBW,2000.000000,Hz
SWT,0.029500,s
Sweep Count,10,
Window,1,Frequency Sweep
Ref Position,100.000000,%
Level Range,100.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBµV,
Trace,1,
Trace Mode,AVERAGE,
Detector,RMS,
Values,705,
9100,15.15105438232421875,
9300,16.832916259765625,
9500,20.5953521728515625,
9700,22.22103118896484375,
9900,25.04528045654296875,
10100,27.2122344970703125,
10300,26.80263519287109375,
10500,22.4928131103515625,
10700,19.78833770751953125,
10900,16.641815185546875,
11100,15.30022430419921875,
11300,17.738525390625,
11500,18.68929290771484375,
11700,20.1925811767578125,
11900,19.30754852294921875,
12100,20.20196533203125,
12300,21.3419647216796875,
12500,24.97167205810546875,
12700,26.3175506591796875,
12900,31.39231109619140625,
13100,36.37602996826171875,
13300,37.58361053466796875,
13500,33.18865966796875,
13700,30.2559051513671875,
13900,28.30113983154296875,
14100,25.36327362060546875,
14300,21.36164093017578125,
14500,20.5806427001953125,
14700,19.92168426513671875,
14900,19.32115936279296875,
15100,14.28687286376953125,
15300,14.1518096923828125,
15500,18.3209228515625,
15700,17.92977142333984375,
15900,15.9984588623046875,
16100,11.99439239501953125,
16300,14.8515777587890625,
16500,17.6795196533203125,
16700,24.69631195068359375,
16900,24.56853485107421875,
17100,16.365631103515625,
17300,17.16587066650390625,
17500,20.43737030029296875,
17700,20.70432281494140625,
17900,21.31522369384765625,
18100,24.4532623291015625,
18300,30.6875,
18500,36.1804046630859375,
18700,32.68601226806640625,
18900,26.07556915283203125,
19100,24.35175323486328125,
19300,22.04270172119140625,
19500,21.62961578369140625,
19700,21.609619140625,
19900,24.561370849609375,
20100,21.8805084228515625,
20300,25.36103057861328125,
20500,31.376922607421875,
20700,31.2004852294921875,
20900,30.261138916015625,
21100,31.46315765380859375,
21300,33.51459503173828125,
21500,39.45027923583984375,
21700,42.2248687744140625,
21900,60.773769378662109375,
22100,62.06607818603515625,
22300,50.335224151611328125,
22500,39.84291839599609375,
22700,39.3176116943359375,
22900,31.02783966064453125,
23100,33.9599151611328125,
23300,34.3929290771484375,
23500,34.884063720703125,
23700,30.09966278076171875,
23900,26.17932891845703125,
24100,26.4128265380859375,
24300,25.6676788330078125,
24500,27.32901763916015625,
24700,24.4378814697265625,
24900,29.240325927734375,
25100,28.4873809814453125,
25300,27.3181915283203125,
25500,26.51910400390625,
25700,25.02851104736328125,
25900,25.656768798828125,
26100,25.49051666259765625,
26300,22.3421783447265625,
26500,29.8742828369140625,
26700,30.937896728515625,
26900,23.35400390625,
27100,20.24935150146484375,
27300,19.033782958984375,
27500,18.451507568359375,
27700,20.0243072509765625,
27900,21.19252777099609375,
28100,21.92636871337890625,
28300,20.58441162109375,
28500,17.06280517578125,
28700,21.26651763916015625,
28900,22.2087554931640625,
29100,19.618194580078125,
29300,15.6563262939453125,
29500,18.37393951416015625,
29700,17.0710601806640625,
29900,17.79079437255859375,
30100,17.5913848876953125,
30300,17.608551025390625,
30500,16.65288543701171875,
30700,18.63211822509765625,
30900,19.8339385986328125,
31100,17.7709503173828125,
31300,16.4424896240234375,
31500,16.409332275390625,
31700,16.934478759765625,
31900,18.53072357177734375,
32100,18.01393890380859375,
32300,15.832489013671875,
32500,15.21794891357421875,
32700,17.86032867431640625,
32900,17.91950225830078125,
33100,18.1642913818359375,
33300,14.70841217041015625,
33500,15.49236297607421875,
33700,18.03142547607421875,
33900,18.37435150146484375,
34100,18.90637969970703125,
34300,14.57450103759765625,
34500,14.3397674560546875,
34700,15.15483856201171875,
34900,17.19216156005859375,
35100,16.71472930908203125,
35300,25.26299285888671875,
35500,26.527618408203125,
35700,14.6704864501953125,
35900,17.30074310302734375,
36100,16.6087188720703125,
36300,14.7055206298828125,
36500,15.1637420654296875,
36700,16.11425018310546875,
36900,18.3943634033203125,
37100,26.41397857666015625,
37300,25.68973541259765625,
37500,14.90241241455078125,
37700,14.42961883544921875,
37900,17.1267547607421875,
38100,17.58109283447265625,
38300,15.57183074951171875,
38500,15.91573333740234375,
38700,15.25217437744140625,
38900,15.5697174072265625,
39100,16.833343505859375,
39300,16.505401611328125,
39500,14.31060791015625,
39700,13.65409088134765625,
39900,30.7230224609375,
40100,30.915618896484375,
40300,13.4391632080078125,
40500,14.31761932373046875,
40700,13.67778778076171875,
40900,16.17206573486328125,
41100,17.22919464111328125,
41300,16.395263671875,
41500,14.23274993896484375,
41700,13.34249114990234375,
41900,18.24741363525390625,
42100,20.31177520751953125,
42300,19.3943634033203125,
42500,18.82750701904296875,
42700,20.2182464599609375,
42900,22.375762939453125,
43100,24.38475799560546875,
43300,27.79840087890625,
43500,29.75672149658203125,
43700,32.677459716796875,
43900,39.054290771484375,
44100,47.203395843505859375,
44300,45.70801544189453125,
44500,37.2986297607421875,
44700,34.0837554931640625,
44900,27.62177276611328125,
45100,18.74394989013671875,
45300,16.73919677734375,
