sep=,
Type,FSVA3013,
Version,1.40,
Date,01.Nov 2023,
Mode,ANALYZER,
Preamplifier,ON,
Transducer,OFF,
Center Freq,79500.000000,Hz
Freq Offset,0.000000,Hz
Start,9100.000000,Hz
Stop,149900.000000,Hz
Span,140800.000000,Hz
Ref Level,75.000000,dBµV
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,200.000000,Hz
VBW,2000.000000,Hz
SWT,0.029500,s
Sweep Count,10,
Window,1,Frequency Sweep
Ref Position,100.000000,%
Level Range,100.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBµV,
Trace,1,
Trace Mode,VIEW,
Detector,RMS,
Values,705,
9100,14.69561767578125,
9300,12.2160491943359375,
9500,11.37947845458984375,
9700,20.448760986328125,
9900,27.234527587890625,
10100,26.024932861328125,
10300,24.4847412109375,
10500,19.23902130126953125,
10700,14.3832550048828125,
10900,14.3184967041015625,
11100,14.96121978759765625,
11300,14.3003082275390625,
11500,14.711456298828125,
11700,12.82221221923828125,
11900,11.85587310791015625,
12100,15.31313323974609375,
12300,14.8280792236328125,
12500,16.59172821044921875,
12700,19.5958404541015625,
12900,23.47040557861328125,
13100,30.05895233154296875,
13300,33.402984619140625,
13500,25.480560302734375,
13700,20.04914093017578125,
13900,18.03899383544921875,
14100,17.57501983642578125,
14300,17.850372314453125,
14500,14.64624786376953125,
14700,12.67002105712890625,
14900,14.8000640869140625,
15100,14.65007781982421875,
15300,13.59066009521484375,
15500,14.42624664306640625,
15700,14.08940887451171875,
15900,13.68946075439453125,
16100,11.44792938232421875,
16300,14.2274017333984375,
16500,27.305908203125,
16700,20.1492462158203125,
16900,13.079833984375,
17100,13.59746551513671875,
17300,16.15709686279296875,
17500,15.91803741455078125,
17700,15.32335662841796875,
17900,17.70832061767578125,
18100,19.70125579833984375,
18300,19.9953460693359375,
18500,30.2711029052734375,
18700,25.2526092529296875,
18900,19.59378814697265625,
19100,19.2194976806640625,
19300,18.978118896484375,
19500,18.570770263671875,
19700,22.26091766357421875,
19900,27.90843963623046875,
20100,29.8622894287109375,
20300,28.7296600341796875,
20500,29.599456787109375,
20700,31.3545074462890625,
20900,27.6571807861328125,
21100,34.33621978759765625,
21300,34.2497100830078125,
21500,33.6064453125,
21700,41.562042236328125,
21900,60.56142425537109375,
22100,65.764007568359375,
22300,59.452106475830078125,
22500,42.49353790283203125,
22700,41.90367889404296875,
22900,36.40912628173828125,
23100,36.96613311767578125,
23300,34.34110260009765625,
23500,35.84478759765625,
23700,36.7243499755859375,
23900,32.5878143310546875,
24100,31.695709228515625,
24300,32.19147491455078125,
24500,31.80245208740234375,
24700,29.55745697021484375,
24900,27.5849456787109375,
25100,26.61707305908203125,
25300,24.295196533203125,
25500,24.81952667236328125,
25700,24.2755279541015625,
25900,22.6484527587890625,
26100,22.115478515625,
26300,21.30510711669921875,
26500,30.16988372802734375,
26700,30.286529541015625,
26900,23.22957611083984375,
27100,22.58136749267578125,
27300,22.7726898193359375,
27500,23.51175689697265625,
27700,24.356048583984375,
27900,24.85546875,
28100,25.3654327392578125,
28300,23.80611419677734375,
28500,24.29203033447265625,
28700,25.28957366943359375,
28900,23.71251678466796875,
29100,24.25765228271484375,
29300,22.80777740478515625,
29500,20.93502044677734375,
29700,24.9604644775390625,
29900,29.47431182861328125,
30100,19.78371429443359375,
30300,19.68679046630859375,
30500,18.37602996826171875,
30700,16.59691619873046875,
30900,15.8707275390625,
31100,16.735321044921875,
31300,14.18888092041015625,
31500,13.7581787109375,
31700,14.13718414306640625,
31900,15.91046142578125,
32100,15.64118194580078125,
32300,13.53668975830078125,
32500,14.48087310791015625,
32700,13.45351409912109375,
32900,12.50502777099609375,
33100,26.492919921875,
33300,25.38950347900390625,
33500,12.228973388671875,
33700,12.516265869140625,
33900,11.81394195556640625,
34100,10.92249298095703125,
34300,11.8208465576171875,
34500,13.05260467529296875,
34700,14.353607177734375,
34900,15.00380706787109375,
35100,14.2115936279296875,
35300,11.4289703369140625,
35500,12.8706512451171875,
35700,12.023406982421875,
35900,13.75028228759765625,
36100,13.2776031494140625,
36300,15.73242950439453125,
36500,27.74132537841796875,
36700,19.01873779296875,
36900,12.00307464599609375,
37100,21.16507720947265625,
37300,20.020538330078125,
37500,11.77330780029296875,
37700,10.008270263671875,
37900,11.1346588134765625,
38100,11.408203125,
38300,9.86699676513671875,
38500,10.12444305419921875,
38700,10.37613677978515625,
38900,11.66762542724609375,
39100,10.543060302734375,
39300,11.788787841796875,
39500,10.2340850830078125,
39700,14.8195037841796875,
39900,27.15709686279296875,
40100,28.03867340087890625,
40300,10.620025634765625,
40500,12.5798492431640625,
40700,12.19313812255859375,
40900,12.8736572265625,
41100,11.05179595947265625,
41300,11.85012054443359375,
41500,9.77275848388671875,
41700,13.458404541015625,
41900,15.798797607421875,
42100,17.0577239990234375,
42300,18.01169586181640625,
42500,16.26482391357421875,
42700,12.592193603515625,
42900,18.62835693359375,
43100,20.96581268310546875,
43300,23.81589508056640625,
43500,25.61055755615234375,
43700,29.66616058349609375,
43900,31.19567108154296875,
44100,41.90618896484375,
44300,46.727359771728515625,
44500,43.725860595703125,
44700,33.80554962158203125,
44900,31.01328277587890625,
45100,25.83636474609375,
45300,18.4320068359375,
45500,15.43708038330078125,
