sep=,
Type,FSVA3013,
Version,1.40,
Date,01.Nov 2023,
Mode,ANALYZER,
Preamplifier,ON,
Transducer,OFF,
Center Freq,79500.000000,Hz
Freq Offset,0.000000,Hz
Start,9100.000000,Hz
Stop,149900.000000,Hz
Span,140800.000000,Hz
Ref Level,89.000000,dBµV
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,200.000000,Hz
VBW,2000.000000,Hz
SWT,0.029500,s
Sweep Count,10,
Window,1,Frequency Sweep
Ref Position,99.000000,%
Level Range,108.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBµV,
Trace,1,
Trace Mode,VIEW,
Detector,RMS,
Values,705,
9100,14.97280120849609375,
9300,12.79570770263671875,
9500,14.235260009765625,
9700,19.84120941162109375,
9900,28.495147705078125,
10100,23.09909820556640625,
10300,23.076873779296875,
10500,18.28823089599609375,
10700,14.25992584228515625,
10900,12.26592254638671875,
11100,12.54627227783203125,
11300,10.730224609375,
11500,10.31137847900390625,
11700,10.106353759765625,
11900,13.05281829833984375,
12100,13.55138397216796875,
12300,15.99160003662109375,
12500,18.87993621826171875,
12700,19.48712921142578125,
12900,24.01927947998046875,
13100,29.69437408447265625,
13300,31.50264739990234375,
13500,24.9266815185546875,
13700,20.35086822509765625,
13900,16.54651641845703125,
14100,15.24941253662109375,
14300,17.027587890625,
14500,17.35390472412109375,
14700,18.73213958740234375,
14900,14.0875244140625,
15100,13.5646820068359375,
15300,13.459716796875,
15500,15.17159271240234375,
15700,14.00693511962890625,
15900,12.2821502685546875,
16100,12.667236328125,
16300,15.38368988037109375,
16500,29.93563079833984375,
16700,23.98458099365234375,
16900,13.21778106689453125,
17100,11.76248931884765625,
17300,13.3569793701171875,
17500,12.57129669189453125,
17700,16.1419525146484375,
17900,15.50428009033203125,
18100,16.4636077880859375,
18300,17.1805267333984375,
18500,26.95067596435546875,
18700,20.76385498046875,
18900,16.87995147705078125,
19100,15.6179351806640625,
19300,18.3021392822265625,
19500,21.29398345947265625,
19700,23.31082916259765625,
19900,28.67330169677734375,
20100,28.69507598876953125,
20300,28.04909515380859375,
20500,31.6232757568359375,
20700,30.3262786865234375,
20900,26.519683837890625,
21100,36.95375823974609375,
21300,35.87436676025390625,
21500,36.3817596435546875,
21700,45.275974273681640625,
21900,63.953083038330078125,
22100,67.2646942138671875,
22300,56.2706298828125,
22500,42.98735809326171875,
22700,40.51435089111328125,
22900,37.389862060546875,
23100,37.19940948486328125,
23300,33.33321380615234375,
23500,33.78186798095703125,
23700,34.37532806396484375,
23900,30.2961578369140625,
24100,30.91015625,
24300,31.37233734130859375,
24500,29.679534912109375,
24700,28.06388092041015625,
24900,26.05451202392578125,
25100,24.59630584716796875,
25300,26.5017852783203125,
25500,27.004241943359375,
25700,24.62326812744140625,
25900,23.58509063720703125,
26100,25.08829498291015625,
26300,24.32514190673828125,
26500,31.98023223876953125,
26700,28.91051483154296875,
26900,23.03108978271484375,
27100,23.64083099365234375,
27300,24.424224853515625,
27500,23.435760498046875,
27700,26.06691741943359375,
27900,24.4290771484375,
28100,24.59032440185546875,
28300,25.347442626953125,
28500,25.375762939453125,
28700,25.83101654052734375,
28900,24.12890625,
29100,23.1770477294921875,
29300,25.60791778564453125,
29500,24.835296630859375,
29700,25.001190185546875,
29900,32.14188385009765625,
30100,21.15761566162109375,
30300,20.08640289306640625,
30500,18.42836761474609375,
30700,18.0796051025390625,
30900,17.93775177001953125,
31100,18.05865478515625,
31300,15.92137908935546875,
31500,14.99196624755859375,
31700,15.550048828125,
31900,16.2269287109375,
32100,16.7624969482421875,
32300,16.44701385498046875,
32500,15.0020751953125,
32700,14.0294342041015625,
32900,12.243804931640625,
33100,27.35619354248046875,
33300,29.953277587890625,
33500,13.965087890625,
33700,11.71700286865234375,
33900,13.31195068359375,
34100,11.52756500244140625,
34300,13.38571929931640625,
34500,13.86254119873046875,
34700,12.3811492919921875,
34900,14.4578704833984375,
35100,11.5860443115234375,
35300,13.085205078125,
35500,13.96035003662109375,
35700,13.18597412109375,
35900,14.52881622314453125,
36100,12.33484649658203125,
36300,16.4675140380859375,
36500,29.7078399658203125,
36700,23.47245025634765625,
36900,17.1916351318359375,
37100,21.1982879638671875,
37300,19.29483795166015625,
37500,12.496246337890625,
37700,12.80117034912109375,
37900,14.53342437744140625,
38100,12.34743499755859375,
38300,11.5110015869140625,
38500,11.04007720947265625,
38700,12.5782470703125,
38900,14.28907012939453125,
39100,10.72536468505859375,
39300,10.46335601806640625,
39500,12.05818939208984375,
39700,16.09812164306640625,
39900,27.67474365234375,
40100,26.74308013916015625,
40300,10.273529052734375,
40500,11.7433319091796875,
40700,11.31838226318359375,
40900,14.47975921630859375,
41100,11.92163848876953125,
41300,10.9402923583984375,
41500,11.19799041748046875,
41700,11.79300689697265625,
41900,17.658935546875,
42100,18.01950836181640625,
42300,17.3727264404296875,
42500,15.37155914306640625,
42700,15.35774993896484375,
42900,18.63004302978515625,
43100,21.66400146484375,
43300,25.5595703125,
43500,25.02764892578125,
43700,30.96285247802734375,
43900,33.09930419921875,
44100,44.861858367919921875,
44300,47.482357025146484375,
44500,39.91634368896484375,
44700,30.5651092529296875,
44900,29.02576446533203125,
45100,20.70361328125,
45300,19.53289794921875,
45500,17.635406494140625,
45700,16.505218505859375,
