sep=,
Type,FSVA3013,
Version,1.40,
Date,01.Nov 2023,
Mode,ANALYZER,
Preamplifier,ON,
Transducer,OFF,
Center Freq,79500.000000,Hz
Freq Offset,0.000000,Hz
Start,9100.000000,Hz
Stop,149900.000000,Hz
Span,140800.000000,Hz
Ref Level,89.000000,dBµV
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,200.000000,Hz
VBW,2000.000000,Hz
SWT,0.029500,s
Sweep Count,10,
Window,1,Frequency Sweep
Ref Position,99.000000,%
Level Range,108.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBµV,
Trace,1,
Trace Mode,VIEW,
Detector,RMS,
Values,705,
9100,5.3572540283203125,
9300,6.87039947509765625,
9500,4.31842803955078125,
9700,5.37081146240234375,
9900,9.325592041015625,
10100,9.31817626953125,
10300,10.54141998291015625,
10500,8.21268463134765625,
10700,7.46128082275390625,
10900,6.3214111328125,
11100,6.19073486328125,
11300,7.4685211181640625,
11500,7.3984375,
11700,10.19145965576171875,
11900,10.6368865966796875,
12100,14.02706146240234375,
12300,18.04782867431640625,
12500,18.2971038818359375,
12700,18.10132598876953125,
12900,23.2122344970703125,
13100,29.3396759033203125,
13300,31.60235595703125,
13500,21.116851806640625,
13700,18.73146820068359375,
13900,13.46953582763671875,
14100,12.364837646484375,
14300,10.16667938232421875,
14500,12.6894989013671875,
14700,12.77325439453125,
14900,11.227508544921875,
15100,10.02783203125,
15300,11.9445648193359375,
15500,10.54891204833984375,
15700,9.05529022216796875,
15900,9.729766845703125,
16100,8.89592742919921875,
16300,9.68273162841796875,
16500,12.19378662109375,
16700,9.832855224609375,
16900,10.66558074951171875,
17100,11.27126312255859375,
17300,10.4278717041015625,
17500,10.16771697998046875,
17700,10.7938385009765625,
17900,12.15032196044921875,
18100,12.14229583740234375,
18300,15.1798248291015625,
18500,27.67334747314453125,
18700,20.04378509521484375,
18900,12.258819580078125,
19100,12.873748779296875,
19300,11.41611480712890625,
19500,15.0441741943359375,
19700,14.2728729248046875,
19900,16.482421875,
20100,17.13629913330078125,
20300,18.09183502197265625,
20500,19.4209747314453125,
20700,15.1690826416015625,
20900,18.1089019775390625,
21100,17.68944549560546875,
21300,19.6023101806640625,
21500,23.682159423828125,
21700,24.95578765869140625,
21900,42.83933258056640625,
22100,47.147003173828125,
22300,37.99712371826171875,
22500,23.7498779296875,
22700,24.32036590576171875,
22900,19.3353271484375,
23100,19.64844512939453125,
23300,15.88541412353515625,
23500,18.055999755859375,
23700,17.51065826416015625,
23900,12.35821533203125,
24100,13.9798126220703125,
24300,15.60501861572265625,
24500,15.23114776611328125,
24700,14.518768310546875,
24900,11.4671630859375,
25100,10.33928680419921875,
25300,11.6082305908203125,
25500,12.2666015625,
25700,11.9165496826171875,
25900,13.46826171875,
26100,14.3538818359375,
26300,17.9297637939453125,
26500,26.61421966552734375,
26700,29.6490478515625,
26900,16.76537322998046875,
27100,11.98386383056640625,
27300,10.85077667236328125,
27500,12.20905303955078125,
27700,12.74675750732421875,
27900,11.0413665771484375,
28100,11.87709808349609375,
28300,13.1102447509765625,
28500,12.5809478759765625,
28700,12.10509490966796875,
28900,13.54532623291015625,
29100,13.77465057373046875,
29300,15.98810577392578125,
29500,13.88288116455078125,
29700,13.44843292236328125,
29900,11.84561920166015625,
30100,9.9480133056640625,
30300,10.27664947509765625,
30500,10.8133544921875,
30700,13.35504150390625,
30900,11.21137237548828125,
31100,10.27008056640625,
31300,11.1556549072265625,
31500,9.26409912109375,
31700,10.48693084716796875,
31900,7.7779083251953125,
32100,10.0210723876953125,
32300,10.137481689453125,
32500,8.79369354248046875,
32700,10.1854400634765625,
32900,9.42662811279296875,
33100,10.50799560546875,
33300,9.384124755859375,
33500,9.43422698974609375,
33700,10.3807525634765625,
33900,11.0239105224609375,
34100,12.31183624267578125,
34300,11.33460235595703125,
34500,11.0487518310546875,
34700,9.2306365966796875,
34900,12.07849884033203125,
35100,10.2361297607421875,
35300,8.28896331787109375,
35500,7.30980682373046875,
35700,6.72370147705078125,
35900,9.29393768310546875,
36100,10.6911163330078125,
36300,10.86577606201171875,
36500,9.925689697265625,
36700,10.62708282470703125,
36900,11.3350372314453125,
37100,17.2607421875,
37300,17.2569122314453125,
37500,9.275970458984375,
37700,10.41705322265625,
37900,11.8809967041015625,
38100,11.31764984130859375,
38300,9.76544189453125,
38500,8.53116607666015625,
38700,9.73322296142578125,
38900,9.94022369384765625,
39100,6.9925384521484375,
39300,10.2263946533203125,
39500,9.54784393310546875,
39700,8.672760009765625,
39900,26.6780853271484375,
40100,27.80977630615234375,
40300,7.2094879150390625,
40500,9.46874237060546875,
40700,10.38497161865234375,
40900,11.982574462890625,
41100,9.64447784423828125,
41300,11.21327972412109375,
41500,10.16650390625,
41700,10.597503662109375,
41900,13.7823944091796875,
42100,13.78327178955078125,
42300,12.97475433349609375,
42500,13.0225982666015625,
42700,13.61023712158203125,
42900,16.855987548828125,
43100,15.99561309814453125,
43300,19.5514984130859375,
43500,20.72367095947265625,
43700,26.90584564208984375,
43900,28.58985137939453125,
44100,40.92537689208984375,
44300,43.683879852294921875,
44500,36.21429443359375,
44700,26.38060760498046875,
44900,25.62824249267578125,
45100,19.74445343017578125,
45300,15.68404388427734375,
45500,12.5211944580078125,
