sep=,
Type,FSVA3013,
Version,1.40,
Date,19.Oct 2023,
Mode,ANALYZER,
Preamplifier,ON,
Transducer,OFF,
Center Freq,79500.000000,Hz
Freq Offset,0.000000,Hz
Start,9100.000000,Hz
Stop,149900.000000,Hz
Span,140800.000000,Hz
Ref Level,59.000000,dBµV
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,200.000000,Hz
VBW,2000.000000,Hz
SWT,0.029500,s
Sweep Count,10,
Window,1,Frequency Sweep
Ref Position,100.000000,%
Level Range,100.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBµV,
Trace,1,
Trace Mode,VIEW,
Detector,RMS,
Values,705,
9100,22.19979095458984375,
9300,14.0487213134765625,
9500,15.11579132080078125,
9700,14.34445953369140625,
9900,20.93796539306640625,
10100,23.12963104248046875,
10300,18.87290191650390625,
10500,28.73699188232421875,
10700,28.4582061767578125,
10900,30.44244384765625,
11100,29.72515106201171875,
11300,20.8418731689453125,
11500,22.758941650390625,
11700,27.73378753662109375,
11900,27.859527587890625,
12100,31.653106689453125,
12300,43.532810211181640625,
12500,46.79878997802734375,
12700,48.4885406494140625,
12900,49.197544097900390625,
13100,49.9894256591796875,
13300,48.73046875,
13500,50.232723236083984375,
13700,50.34329986572265625,
13900,42.5847320556640625,
14100,42.72258758544921875,
14300,36.07955169677734375,
14500,34.65482330322265625,
14700,30.74676513671875,
14900,30.74273681640625,
15100,34.94652557373046875,
15300,36.7118988037109375,
15500,32.73685455322265625,
15700,33.7418212890625,
15900,35.1827850341796875,
16100,31.968170166015625,
16300,30.1524200439453125,
16500,31.9044342041015625,
16700,33.0204010009765625,
16900,34.70980072021484375,
17100,34.73114013671875,
17300,36.51811981201171875,
17500,35.58483123779296875,
17700,36.287567138671875,
17900,40.0408172607421875,
18100,35.8775787353515625,
18300,39.52935028076171875,
18500,54.485179901123046875,
18700,44.314846038818359375,
18900,43.70946502685546875,
19100,44.65303802490234375,
19300,42.172760009765625,
19500,37.01949310302734375,
19700,49.43596649169921875,
19900,49.7045135498046875,
20100,50.69969940185546875,
20300,46.8783721923828125,
20500,49.4912261962890625,
20700,50.258274078369140625,
20900,56.07767486572265625,
21100,53.553691864013671875,
21300,54.800750732421875,
21500,59.121257781982421875,
21700,55.736255645751953125,
21900,71.56566619873046875,
22100,71.04496002197265625,
22300,54.968418121337890625,
22500,54.146602630615234375,
22700,52.301090240478515625,
22900,44.913177490234375,
23100,43.081119537353515625,
23300,48.222553253173828125,
23500,39.5290069580078125,
23700,47.52631378173828125,
23900,42.65586090087890625,
24100,46.05838775634765625,
24300,38.64467620849609375,
24500,44.393764495849609375,
24700,42.927642822265625,
24900,41.05284881591796875,
25100,40.95257568359375,
25300,43.1529693603515625,
25500,42.825836181640625,
25700,39.97939300537109375,
25900,42.16051483154296875,
26100,48.35958099365234375,
26300,49.4703216552734375,
26500,46.06954193115234375,
26700,44.212375640869140625,
26900,42.782440185546875,
27100,41.68268585205078125,
27300,42.63216400146484375,
27500,41.06336212158203125,
27700,36.89203643798828125,
27900,25.2654876708984375,
28100,28.7550201416015625,
28300,29.42523956298828125,
28500,30.019744873046875,
28700,29.55942535400390625,
28900,33.849578857421875,
29100,26.7428436279296875,
29300,28.521484375,
29500,29.17144012451171875,
29700,28.6149749755859375,
29900,22.17195892333984375,
30100,28.5907745361328125,
30300,23.24962615966796875,
30500,24.06307220458984375,
30700,28.06551361083984375,
30900,32.24884033203125,
31100,23.097564697265625,
31300,30.0288543701171875,
31500,29.72681427001953125,
31700,23.7048187255859375,
31900,25.88567352294921875,
32100,21.87420654296875,
32300,21.24382781982421875,
32500,22.35355377197265625,
32700,15.24680328369140625,
32900,17.19809722900390625,
33100,19.69513702392578125,
33300,19.4146575927734375,
33500,16.28928375244140625,
33700,17.3008270263671875,
33900,18.436065673828125,
34100,18.12705230712890625,
34300,23.15670013427734375,
34500,17.96364593505859375,
34700,10.6253814697265625,
34900,19.5976104736328125,
35100,10.94799041748046875,
35300,14.36438751220703125,
35500,21.61542510986328125,
35700,24.50437164306640625,
35900,29.13875579833984375,
36100,24.9871826171875,
36300,21.951873779296875,
36500,18.7736663818359375,
36700,20.735137939453125,
36900,25.8944854736328125,
37100,41.98461151123046875,
37300,39.67571258544921875,
37500,21.02571868896484375,
37700,19.22426605224609375,
37900,20.2016754150390625,
38100,18.37343597412109375,
38300,17.764984130859375,
38500,16.27922821044921875,
38700,20.856201171875,
38900,19.8539581298828125,
39100,25.81867218017578125,
39300,24.4005126953125,
39500,15.5267486572265625,
39700,14.79064178466796875,
39900,50.33435821533203125,
40100,51.0051422119140625,
40300,21.3754730224609375,
40500,21.3563995361328125,
40700,21.3353729248046875,
40900,24.74033355712890625,
41100,15.542877197265625,
41300,18.38999176025390625,
41500,12.93502044677734375,
41700,17.70517730712890625,
41900,20.278564453125,
42100,26.654937744140625,
42300,17.985198974609375,
42500,28.34332275390625,
42700,33.28667449951171875,
42900,38.032745361328125,
43100,42.8113555908203125,
43300,43.471317291259765625,
43500,45.64781951904296875,
43700,42.70830535888671875,
43900,49.06470489501953125,
44100,60.5877685546875,
44300,50.878971099853515625,
44500,49.2671966552734375,
44700,41.6439971923828125,
44900,34.7644805908203125,
45100,42.64989471435546875,
45300,41.05298614501953125,
